add_cube 0,0,0 1,0.1,1 
move_edge 25 -0.1,0,0 
move_edge 65 -0.1,0,0 
move_edge 105 -0.1,0,0 
move_edge 35 0.1,0,0 
move_edge 75 0.1,0,0 
move_edge 115 0.1,0,0 
move_edge 42 0,0,0.1 
move_edge 50 0,0,0.1 
move_edge 58 0,0,0.1 
move_edge 62 0,0,-0.1 
move_edge 70 0,0,-0.1 
move_edge 78 0,0,-0.1 
set_color 0 0.615686,0.384314,0.258824,1 
set_color 1 0.615686,0.384314,0.258824,1 
set_color 2 0.615686,0.384314,0.258824,1 
set_color 3 0.615686,0.384314,0.258824,1 
set_color 5 0.615686,0.384314,0.258824,1 
set_color 4 0.721569,0.796078,0.384314,1 
set_color 6 0.87451,0.843137,0.8,1 
set_color 7 0.592157,0.564706,0.541176,1 
set_color 8 0.87451,0.843137,0.8,1 
set_color 9 0.721569,0.796078,0.384314,1 
set_color 10 0.87451,0.843137,0.8,1 
set_color 11 0.87451,0.843137,0.8,1 
set_color 12 0.592157,0.564706,0.541176,1 
set_color 13 0.87451,0.843137,0.8,1 
set_color 14 0.87451,0.843137,0.8,1 
set_color 15 0.592157,0.564706,0.541176,1 
set_color 16 0.592157,0.564706,0.541176,1 
set_color 17 0.592157,0.564706,0.541176,1 
set_color 18 0.592157,0.564706,0.541176,1 
set_color 19 0.592157,0.564706,0.541176,1 
set_color 20 0.87451,0.843137,0.8,1 
set_color 21 0.87451,0.843137,0.8,1 
set_color 22 0.592157,0.564706,0.541176,1 
set_color 23 0.87451,0.843137,0.8,1 
set_color 24 0.87451,0.843137,0.8,1 
set_color 25 0.721569,0.796078,0.384314,1 
set_color 26 0.87451,0.843137,0.8,1 
set_color 27 0.592157,0.564706,0.541176,1 
set_color 28 0.87451,0.843137,0.8,1 
set_color 29 0.721569,0.796078,0.384314,1 
